approach,model,accuracy_val,macro_f1_val,accuracy_train,macro_f1_train,gap_accuracy,gap_macro_f1,accuracy_floor_val,f1_third_party_sharing_collection,f1_data_retention,f1_do_not_track,f1_user_access_edit_deletion,f1_user_choice_control,f1_data_security,f1_international_specific_audiences,f1_policy_change,f1_first_party_collection_use,f1_Other
multiclase (10 clases),LogReg,0.7202,0.7121,0.882,0.902,0.1618,0.1899,0.3454,0.7867,0.625,0.9091,0.6071,0.5231,0.7188,0.72,0.7857,0.7635,0.6818
multiclase (10 clases),LinearSVC,0.7237,0.7054,0.9898,0.985,0.2661,0.2796,0.3454,0.8093,0.6667,0.9091,0.549,0.5289,0.7097,0.7467,0.7368,0.7574,0.6406
multiclase (10 clases),ComplementNB,0.7461,0.7118,0.8988,0.8896,0.1527,0.1778,0.3454,0.8308,0.6429,0.7273,0.5957,0.5932,0.7812,0.7407,0.8136,0.7672,0.625
