,,,OPP-115 Category,"First Party
Collection/Use","Third Party
Sharing/Collection","User Choice/
Control","User Access,
Edit and Deletion",Data Retention,Data Security,Policy Change,Do Not Track,"International and
Specific Audiences",Other
Principle Location in GDPR: Article Number,Principle Location in GDPR: Subsection of Article,Principle Title,,,,,,,,,,,
5,1(a),"Lawfulness, fairness and transparency",,1,1,1,1,,,1,,1,
5,1(b),Purpose Limitation,,1,1,,,,,,,,
5,1(c),Data Minimisation,,1,1,,,,,,,,
5,1(d),Accuracy,,,,,1,,,,,,
5,1(e),Storage Limitation,,,,,,1,,,,,
5,1(f),Integrity and Confidentiality,,,,,,,1,,,,
5,2,Accountability,,,,,,,,,,,
